Time,ParameterName,ParameterValue
2022-12-02T07:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T07:00:00Z,WS_PT1H_AVG,2.0
2022-12-02T07:00:00Z,WS_PT1H_MAX,2.6
2022-12-02T07:00:00Z,WS_PT1H_MIN,1.6
2022-12-02T07:00:00Z,WD_PT1H_AVG,78.0
2022-12-02T07:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T07:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T07:00:00Z,PA_PT1H_AVG,1041.4
2022-12-02T07:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T08:00:00Z,TA_PT1H_AVG,-3.6
2022-12-02T08:00:00Z,TA_PT1H_MAX,-3.5
2022-12-02T08:00:00Z,TA_PT1H_MIN,-3.6
2022-12-02T08:00:00Z,RH_PT1H_AVG,97.0
2022-12-02T08:00:00Z,WS_PT1H_AVG,NaN
2022-12-02T08:00:00Z,WS_PT1H_MAX,NaN
2022-12-02T08:00:00Z,WS_PT1H_MIN,NaN
2022-12-02T08:00:00Z,WD_PT1H_AVG,80.0
2022-12-02T08:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T08:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T08:00:00Z,PA_PT1H_AVG,1041.8
2022-12-02T08:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T09:00:00Z,TA_PT1H_AVG,-3.5
2022-12-02T09:00:00Z,TA_PT1H_MAX,-3.4
2022-12-02T09:00:00Z,TA_PT1H_MIN,-3.6
2022-12-02T09:00:00Z,RH_PT1H_AVG,96.0
2022-12-02T09:00:00Z,WS_PT1H_AVG,2.0
2022-12-02T09:00:00Z,WS_PT1H_MAX,2.4
2022-12-02T09:00:00Z,WS_PT1H_MIN,1.7
2022-12-02T09:00:00Z,WD_PT1H_AVG,81.0
2022-12-02T09:00:00Z,PRA_PT1H_ACC,NaN
2022-12-02T09:00:00Z,PRI_PT1H_MAX,NaN
2022-12-02T09:00:00Z,PA_PT1H_AVG,1041.9
2022-12-02T09:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T10:00:00Z,TA_PT1H_AVG,-3.5
2022-12-02T10:00:00Z,TA_PT1H_MAX,-3.4
2022-12-02T10:00:00Z,TA_PT1H_MIN,-3.7
